CVE_ENT,NOM_ENT,NOM_ABR"01","AGUASCALIENTES","AGS."
"02","BAJA CALIFORNIA","BC"
"03","BAJA CALIFORNIA SUR","BCS"
"04","CAMPECHE","CAMP."
"05","COAHUILA DE ZARAGOZA","COAH."
"06","COLIMA","COL."
"07","CHIAPAS","CHIS."
"08","CHIHUAHUA","CHIH."
"09","CIUDAD DE MEXICO","CDMX"
"10","DURANGO","DGO."
"11","GUANAJUATO","GTO."
"12","GUERRERO","GRO."
"13","HIDALGO","HGO."
"14","JALISCO","JAL."
"15","MEXICO","MEX."
"16","MICHOACAN DE OCAMPO","MICH."
"17","MORELOS","MOR."
"18","NAYARIT","NAY."
"19","NUEVO LEON","NL"
"20","OAXACA","OAX."
"21","PUEBLA","PUE."
"22","QUERETARO","QRO."
"23","QUINTANA ROO","Q. ROO"
"24","SAN LUIS POTOSI","SLP"
"25","SINALOA","SIN."
"26","SONORA","SON."
"27","TABASCO","TAB."
"28","TAMAULIPAS","TAMPS."
"29","TLAXCALA","TLAX."
"30","VERACRUZ DE IGNACIO DE LA LLAVE","VER."
"31","YUCATAN","YUC."
"32","ZACATECAS","ZAC."
